"Year","cpi_score","iso_3"
1999,9.2,"CAN"
2000,9.2,"CAN"
2001,8.9,"CAN"
2002,9,"CAN"
2003,8.7,"CAN"
2004,8.5,"CAN"
2005,8.4,"CAN"
2006,8.5,"CAN"
2007,8.7,"CAN"
2008,8.7,"CAN"
2009,8.7,"CAN"
1998,NA,"CPV"
1999,NA,"CPV"
2000,NA,"CPV"
2001,NA,"CPV"
2002,NA,"CPV"
2003,NA,"CPV"
2004,NA,"CPV"
2005,NA,"CPV"
2006,NA,"CPV"
2007,4.9,"CPV"
2008,5.1,"CPV"
2009,5.1,"CPV"
1998,NA,"CAF"
1999,NA,"CAF"
2000,NA,"CAF"
2001,NA,"CAF"
2002,NA,"CAF"
2003,NA,"CAF"
2004,NA,"CAF"
2005,NA,"CAF"
2006,2.4,"CAF"
2007,2,"CAF"
2008,2,"CAF"
2009,2,"CAF"
1998,NA,"TCD"
1999,NA,"TCD"
2000,NA,"TCD"
2001,NA,"TCD"
2002,NA,"TCD"
2003,NA,"TCD"
2004,1.7,"TCD"
2005,1.7,"TCD"
2006,2,"TCD"
2007,1.8,"TCD"
2008,1.6,"TCD"
2009,1.6,"TCD"
1998,6.8,"CHL"
1999,6.9,"CHL"
2000,7.4,"CHL"
2001,7.5,"CHL"
2002,7.5,"CHL"
2003,7.4,"CHL"
2004,7.4,"CHL"
2005,7.3,"CHL"
2006,7.3,"CHL"
2007,7,"CHL"
2008,6.9,"CHL"
2009,6.7,"CHL"
1998,3.5,"CHN"
1999,3.4,"CHN"
2000,3.1,"CHN"
2001,3.5,"CHN"
2002,3.5,"CHN"
2003,3.4,"CHN"
2004,3.4,"CHN"
2005,3.2,"CHN"
2006,3.3,"CHN"
2007,3.5,"CHN"
2008,3.6,"CHN"
2009,3.6,"CHN"
1998,2.2,"COL"
1999,2.9,"COL"
2000,3.2,"COL"
2001,3.8,"COL"
2002,3.6,"COL"
2003,3.7,"COL"
2004,3.8,"COL"
2005,4,"COL"
2006,3.9,"COL"
2007,3.8,"COL"
2008,3.8,"COL"
